City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
320,Jinhua,CN,66.63,overcast clouds,29.1078,119.6547,Yayi Hotel
321,Hualmay,PE,68.5,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
323,Sitka,US,46.29,broken clouds,57.0531,-135.33,Westmark Sitka
328,Mehriz,IR,64.9,overcast clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
330,Savalou,BJ,79.61,overcast clouds,7.9281,1.9756,Hotel F&F
332,Pemangkat,ID,77.94,overcast clouds,1.1667,108.9667,Ramah Kost KITA
336,Klyuchi,RU,44.8,broken clouds,52.2667,79.1667,Vesolaya Mayovka
337,Banjar,ID,76.96,overcast clouds,-8.19,114.9675,The Hamsa Resort
338,Kerrobert,CA,68.05,overcast clouds,51.9168,-109.1348,"Motel 6 Kerrobert, SK"
339,Lander,US,69.12,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
340,Mariental,,66.47,broken clouds,-24.6333,17.9667,Mariental Hotel
341,Nouakchott,MR,69.73,clear sky,18.0858,-15.9785,HOTEL IMAN
342,Walvis Bay,,65.35,clear sky,-22.9575,14.5053,Oyster Box Guesthouse
343,Iwanai,JP,43.92,overcast clouds,42.9744,140.5089,いわない高原ホテル
347,Fier,AL,55.4,clear sky,40.7239,19.5561,Hotel Fieri
348,Negara,ID,77.04,overcast clouds,-8.3151,114.6025,Villa Maya West Bali
349,Tongchuan,CN,57.78,scattered clouds,35.0806,109.0897,Tongchuan Hotel
352,Half Moon Bay,US,70.18,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
356,Rocha,UY,68.2,broken clouds,-34.4833,-54.3333,Hotel Arrarte
357,Kenai,US,51.89,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
358,Urucara,BR,75.56,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
360,Nantucket,US,53.74,overcast clouds,41.2835,-70.0995,Jared Coffin House
361,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
362,Itoman,JP,79.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
363,Comodoro Rivadavia,AR,46.26,few clouds,-45.8667,-67.5,Austral Hotel
