City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Muisne,EC,2022-04-18 04:26:27,0.6,-80.0333,75.54,84,85,6.06
272,Lasa,IT,2022-04-18 04:26:28,46.6166,10.7002,33.37,69,3,3.91
273,Gazojak,TM,2022-04-18 04:26:28,41.1875,61.4036,61.27,42,100,13.35
274,Saint George,US,2022-04-18 04:26:29,37.1041,-113.5841,72.19,16,0,5.75
275,Berdigestyakh,RU,2022-04-18 04:27:30,62.0989,126.6992,29.93,95,100,13.09
276,Karratha,AU,2022-04-18 04:27:30,-20.7377,116.8463,94.95,26,7,20.65
277,San Cataldo,IT,2022-04-18 04:27:30,37.4841,13.9854,46.53,93,99,8.01
278,Leesburg,US,2022-04-18 04:27:31,39.1157,-77.5636,46.6,51,0,6.91
279,Dingle,PH,2022-04-18 04:27:32,10.9995,122.6711,86.65,62,46,13.47
280,Svetlyy,RU,2022-04-18 04:27:32,54.675,20.1347,38.97,76,22,5.64
281,Te Anau,NZ,2022-04-18 04:27:33,-45.4167,167.7167,62.64,58,52,4.5
282,Nuqui,CO,2022-04-18 04:27:33,5.7125,-77.2708,77.59,89,92,2.51
283,Havelock,US,2022-04-18 04:27:33,34.8791,-76.9013,58.98,68,100,23.02
284,Skhisma,GR,2022-04-18 04:27:34,35.2667,25.7167,60.84,82,28,7.02
285,Russell,US,2022-04-18 04:27:34,32.3502,-85.1999,65.48,97,75,3.44
286,Sayyan,YE,2022-04-18 04:27:35,15.1718,44.3244,63.55,27,3,2.39
287,Raudeberg,NO,2022-04-18 04:27:35,61.9875,5.1352,43.86,77,96,7.52
288,Kambove,CD,2022-04-18 04:27:36,-10.8764,26.5969,58.57,98,17,4.05
289,Ankola,IN,2022-04-18 04:27:36,14.6667,74.3,86.97,63,16,4.38
290,General Roca,AR,2022-04-18 04:27:37,-39.0333,-67.5833,61.63,47,100,14.65
291,Shache,CN,2022-04-18 04:27:37,38.4167,77.2406,66.34,13,2,4.45
292,Agadez,NE,2022-04-18 04:27:37,19.75,10.25,72.72,22,100,9.13
293,Belmonte,BR,2022-04-18 04:27:38,-15.8631,-38.8828,76.19,79,100,12.03
